International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000001vm&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvvuvg&ct=0&ug=8&tl_id=2-A&vs=INTL.29-12-AFG-BKWH.A&cy=2016&vo=0&v=B&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Apr 30 2019 15:44:00 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Australia,Billion Kwh,12.814,13.935,13.461,12.011,11.975,13.529,14.372,13.463,13.41,14.311,14.006,15.663,15.194,16.483,16.192,15.726,15.619,16.733,15.636,16.509,16.196,16.397,15.718,16.127,15.886,15.156,15.767,14.196,11.79,11.684,13.502,16.756,14.026,18.171,18.386,13.361,15.074
,Austria,Billion Kwh,28.501,30.008,29.893,29.577,28.384,30.288,30.496,25.401,35.151,34.641,31.179,31.112,34.483,36.336,35.349,36.696,33.874,35.744,36.792,40.292,41.418,40.05,39.825,32.883,36.394,36.31,35.48,36.732,37.969,40.487,36.524,32.554,41.832,40.19,39.025,35.139,37.693
,Azerbaijan,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,1.73,2.376,1.811,1.54,1.523,1.695,1.931,1.491,1.519,1.288,2,2.444,2.727,2.979,2.493,2.34,2.21,2.285,3.412,2.649,1.803,1.474,1.287,1.621,1.939
,"Bahamas, The",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bahrain,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bangladesh,Billion Kwh,0.625,0.523,0.662,0.662,0.897,0.739,0.45,0.512,0.668,0.911,0.875,0.83,0.788,0.602,0.839,0.604,0.732,0.712,0.856,0.825,0.937,0.983,1.055,1.115,1.214,1.28,1.375,0.742,0.941,0.413,0.725,0.863,0.77,0.885,0.582,0.56,0.56
,Barbados,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belarus,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.017,0.019,0.019,0.02,0.016,0.021,0.028,0.019,0.027,0.03,0.028,0.028,0.033,0.036,0.035,0.035,0.039,0.044,0.045,0.042,0.069,0.138,0.12,0.106,0.141
,Belgium,Billion Kwh,0.274,0.377,0.325,0.331,0.348,0.282,0.339,0.425,0.354,0.3,0.263,0.226,0.338,0.252,0.342,0.335,0.237,0.30195,0.38511,0.338,0.455,0.437,0.356,0.245,0.314,0.285,0.355,0.385,0.406,0.325,0.298,0.193,0.353,0.376,0.289,0.315,0.366
,Belize,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.068,0.065,0.075,0.093,0.091374,0.088243,0.061154,0.063215,0.068575,0.177733,0.177403,0.204449,0.188,0.263,0.245,0.209,0.259,0.256,0.236,0.261
,Benin,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0.0017,0.0017,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.014,0.015
,Bermuda,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bhutan,Billion Kwh,0.006,0.007,0.008,0.008,0.008,0.008,0.3,1.168,1.529,1.529,1.541,1.557,1.604,1.604,1.658,1.715,1.852,1.82,1.783,1.782,1.792,1.921,2.178,2.502,2.329,2.62,4.474,6.494,6.891,6.928,7.255,6.975,6.745,7.531,7.15,7.731,7.879
,Bolivia,Billion Kwh,1.069,1.143,1.192,1.157,1.176,1.148,1.128,1.117,1.248,1.24,1.24,1.371,1.337,1.361,1.337,1.27,1.445,1.557,1.498,1.775,1.953,2.108,2.181,1.967,2.128,1.944,2.137281,2.296107,2.287,2.273,2.16,2.324,2.328,2.51,2.228,2.438,1.703
,Bosnia and Herzegovina,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,3.374,2.343,3.424,3.607,5.104,4.608,4.511,5.477,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,4.343,4.173,7.164,5.876,5.495,5.585
,Botswana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brazil,Billion Kwh,128.436,129.395,139.652,149.889,164.848,176.507,180.7,183.744,197.102,202.643,204.641,215.604,221.11,232.714,240.278,251.366,263.111,276.182,288.55431,290.07,301.359,265.197,283.231,302.56,317.589,334.082,345.317,370.275,365.861,387.078,399.256,424.05,411.189,387.082,369.705,356.146,377.102
,Brunei,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bulgaria,Billion Kwh,3.674,3.58,3.018,3.318,3.226,2.214,2.302,2.512,2.569,2.662,1.859,2.417,2.042,1.923,1.453,2.291,2.89,2.726,3.066,2.725,2.646,1.72,2.172,2.999,3.136,4.294,4.196,2.845,2.796,3.435,5.006,2.888,3.194,4.039,4.559,5.604,3.903
,Burkina Faso,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.009,0.013,0.02,0.047,0.072,0.094,0.114,0.115,0.078,0.123,0.097,0.053,0.064,0.096,0.100444,0.099468,0.079861,0.110303,0.134573,0.130974,0.116,0.081,0.097,0.106,0.09,0.093,0.139
,Burma (Myanmar),Billion Kwh,0.788,0.851,0.917,0.983,1,0.993,1.031,1.013,0.926,1.133,1.181,1.228,1.503,1.688,1.598,1.608,1.634,1.669,0.94,1.028,1.873,1.804,2.21,2.228,2.384,2.967,3.292,3.583,4.03,5.203,5.054,7.443,7.688,8.735,8.741,9.305,9.647
,Burundi,Billion Kwh,0.002,0.002,0.002,0.023,0.039,0.046,0.061,0.094,0.103,0.102,0.107,0.11,0.104,0.108,0.114,0.117,0.117,0.12,0.109,0.097,0.098,0.114,0.126,0.1,0.09,0.095,0.092,0.116,0.111,0.12,0.141,0.128,0.139,0.138,0.14,0.23,0.269
,Cambodia,Billion Kwh,0.049,0.053,0.055,0.04,0.03,0.035,0.04,0.045,0.05,0.054,0.062,0.064,0.067,0.069,0.071,0.073,0.077,0.057,0.05,0.044,0.046,0.03,0.029,0.041,0.028,0.044,0.048,0.047,0.043,0.037,0.032,0.051,0.512,1.006,1.833,1.98,2.593
,Cameroon,Billion Kwh,1.35,1.79,2.028,2.003,2.106,2.295,2.297,2.301,2.489,2.602,2.609,2.642,2.624,2.626,2.661,2.725,2.839,3.061,3.085,3.301,3.408,3.439,3.15,3.493,3.881,3.734,3.853,3.809,4.19,3.976,4.217,4.353,3.462,4.042,4.516,4.315,4.565
,Canada,Billion Kwh,250.998,263.137,255.185,263.363,283.372,300.799,307.653,313.19,303.462,287.642,293.859,305.274,313.198,320.344,326.449,332.564,352.091,347.191,328.57,342.1,354.924,329.986,347.048,334.071,337.427,358.301,349.323,363.909,373.676,364.964,347.871,371.967,376.465,387.871,378.676,378.398,383.265
,Cape Verde,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cayman Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Central African Republic,Billion Kwh,0.066,0.065,0.068,0.064,0.069,0.06,0.076,0.073,0.074,0.074,0.076,0.075,0.077,0.077,0.079,0.08,0.081,0.083,0.081,0.081,0.083,0.082,0.082,0.083,0.124,0.133,0.139,0.136,0.136,0.135,0.134,0.146,0.149,0.154,0.156,0.15,0.17
,Chad,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chile,Billion Kwh,7.343,7.588,8.459,8.933,9.332,10.358,11.306,12.026,11.354,9.507,11.852,12.997,16.568,17.022,16.808,19.616,18.58,18.754,15.796,13.441,19.553,20.793,22.042,21.457,21.759,26.218,28.838,22.899,23.951,25.043,21.641,20.937,19.977,19.678,22.814,23.403,22.808
,China,Billion Kwh,57.618,64.845,73.656,85.536,85.932,91.476,93.555,99.198,108.009,117.216,125.136,123.849,130.185,149.193,165.352,184.902,185.051,192.624,202.257,210.801,220.19,274.658,285.094,280.844,350.009,393.047,431.428,480.411,579.335,609.484,704.269,681.165,854.166,900.515,1040.626,1103.325,1150.948
,Colombia,Billion Kwh,14.299,14.213,17.93,17.999,20.022,21.554,24.999,21.287,24.313,26.384,27.248,27.21,22.217,27.724,31.972,31.838,35.136,31.369,30.474,33.404,31.753,31.48,33.628,35.812,39.676,39.405,42.315,44.001,45.939,40.64,39.997,48.389,47.106,49.757,47.391,48.082,48.476
,Comoros,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.002,0.002,0.002,0.002
,Congo (Brazzaville),Billion Kwh,0.099,0.102,0.174,0.229,0.248,0.288,0.265,0.275,0.286,0.393,0.485,0.474,0.421,0.355,0.319,0.348,0.451,0.446,0.339,0.25,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,0.327,0.426,0.783,0.977,0.961,0.942,0.916,0.949
,Congo (Kinshasa),Billion Kwh,4.199,4.126,4.08,4.432,4.646,4.975,5.204,5.187,5.196,5.836,5.569,5.206,5.993,5.473,5.241,6.097,6.03,4.974,4.662,5.247,5.939,5.914,6.049,6.098,7.007,7.319,7.445,7.742,7.408,7.722,7.741,7.733,7.51,8.149,8.732,8.827,9.008
,Cook Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Costa Rica,Billion Kwh,2.088,2.251,2.352,2.795,2.969,2.739,2.856,2.964,3.01,3.287,3.348,3.619,3.548,3.917,3.904,3.518,3.767,4.764,4.218,5.084,5.617,5.597,5.871,5.864,6.421,6.502,6.535,6.701,7.313,7.153,7.19,7.064,7.162,6.782,6.65,7.986,7.946
,Cote dIvoire (IvoryCoast),Billion Kwh,1.345,1.726,1.731,1.067,0.369,1.344,1.179,1.216,1.227,1.25,1.309,1.242,1.038,1.087,1.162,1.766,1.764,1.86,1.363,1.736,1.746,1.782,1.712,1.814,1.731,1.423,1.495,1.779,1.879,2.11,1.602,1.756,1.771,1.59,1.894,1.338,1.514
,Croatia,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,4.298,4.302,4.881,5.212,7.156,5.234,5.403,6.524,5.794,6.482,5.311,4.827,6.888,6.27,5.94,4.194,5.164,6.663,9.035,4.983,4.789,8.536,8.917,6.327,6.784
,Cuba,Billion Kwh,0.096,0.059,0.043,0.062,0.069,0.053,0.058,0.044,0.072,0.081,0.103,0.104,0.08,0.081,0.049,0.073,0.094,0.129,0.096,0.102,0.088,0.074,0.105,0.127,0.086724,0.067,0.0925,0.120186,0.1369,0.1493,0.0956,0.098,0.11,0.126,0.103,0.048,0.063
,Cyprus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Czech Republic,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,1.355,1.445,1.982,1.949,1.68201,1.382,1.664,1.7404,2.033,2.467,1.369,1.999,2.356,2.525,2.068,2.004,2.405,2.775,1.95,2.107,2.704,1.909,1.779,1.983
,Denmark,Billion Kwh,0.03,0.031,0.028,0.036,0.028,0.027,0.029,0.029,0.032,0.027,0.027,0.026,0.028,0.027,0.033,0.03,0.019,0.019,0.02673,0.031,0.03,0.028,0.032,0.021,0.027,0.023,0.023,0.028,0.026,0.019,0.021,0.017,0.017,0.013,0.015,0.018,0.019
,Djibouti,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dominica,Billion Kwh,0.009,0.01,0.009,0.015,0.016,0.014,0.013,0.014,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.019,0.019,0.02,0.027,0.032,0.032,0.027,0.03,0.029,0.034,0.027,0.027,0.021,0.02,0.023,0.023,0.035,0.026,0.036,0.03,0.023,0.035
,Dominican Republic,Billion Kwh,0.572,0.809,0.749,0.772,0.509,1.025,0.891,0.94,0.842,0.592,0.391,0.552,0.528,1.118,0.528,0.598,0.854,0.658,0.726,1.088,0.754,0.696,0.871,1.193,1.6,1.908,1.75,1.701,1.384,1.464,1.435,1.531,1.784,1.883,1.323,0.934,1.5
,Ecuador,Billion Kwh,0.878,0.783,0.89,1.712,3.163,3.761,4.27,4.486,4.741,4.867,4.937,5.025,4.924,5.752,6.499,5.109,6.281,6.469,6.441,7.105,7.533,7,7.45,7.108617,7.337582,6.814,7.059,8.947,11.181,9.13,8.55,11.022,12.116,10.929,11.343,12.965,15.675
,Egypt,Billion Kwh,9.699,10.109,10.365,10.094,9.9,8.019,7.92,8.168,7.821,7.92,9.875,8.545,8.455,10.381,10.63,11.299,11.439,11.867,12.1,15.134,13.56,14.979,12.73,12.889,12.518,12.518,12.796,15.355,14.535,12.734,12.916,12.805,12.99,13.218,13.684,13.298,13.325
,El Salvador,Billion Kwh,1.067,0.755,0.792,0.812,1.038,1.191,1.249,1.148,1.31,1.437,1.426,0.837,0.973,1.156,1.189,1.456,1.864,1.415,1.55,1.749,1.163,1.152,1.128,1.451,1.374,1.664,1.957,1.734,2.033,1.5,2.079,2.006,1.842,1.785,1.713,1.349,1.257
,Equatorial Guinea,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.039,0.039,0.065,0.13,0.13,0.13,0.13
,Eritrea,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Estonia,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.001,0.003,0.002,0.002,0.003,0.004,0.004,0.005,0.007,0.006,0.013,0.022,0.022,0.014,0.021,0.028,0.032,0.027,0.03,0.042,0.026,0.027,0.027,0.035
,Ethiopia,Billion Kwh,0.473,0.502,0.574,0.623,0.683,0.747,0.821,0.886,0.956,0.994,1.088,1.097,1.127,1.251,1.34,1.414,1.495,1.55,1.563,1.589,1.63,1.972,2.003,2.257,2.496,2.805,3.226,3.351,3.263,3.489,4.882,6.199,7.314,8.255,8.923,9.577,10.302
,Falkland Islands (Islas Malvinas),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Faroe Islands,Billion Kwh,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.073,0.075,0.075,0.069564,0.075066,0.076501,0.069453,0.075262,0.075195,0.095535,0.08483,0.093443,0.097986,0.099934,0.103407,0.094921,0.091482,0.06676,0.092,0.099,0.091,0.121,0.133,0.106
,Fiji,Billion Kwh,0,0,0,0.049,0.284,0.29,0.329,0.346,0.327,0.327,0.381,0.381,0.386,0.386,0.406,0.425,0.426,0.43,0.417922,0.44985,0.414,0.463,0.45,0.344,0.367,0.339,0.341,0.508,0.495,0.46,0.414,0.456,0.525,0.527,0.401,0.406,0.495
,Finland,Billion Kwh,10.115,13.518,12.958,13.445,13.115,12.211,12.266,13.658,13.229,12.9,10.75,13.065,14.956,13.341,11.669,12.796,11.742,12.11958,14.9,12.652,14.513,13.073,10.668,9.495,14.919,13.646,11.379,14.035,16.941,12.559,12.743,12.278,16.667,12.672,13.24,16.584,15.634
,Former Czechoslovakia,Billion Kwh,4.8,4.2,3.7,3.9,3.2,4.3,4,4.853,4.355,4.229,3.919,3.119,3.602,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Serbia and Montenegro,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,11.23,10.395,11.016,12.071,14.266,12.636,12.763,13.243,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--,--,--,--,--,--,--,--
,Former U.S.S.R.,Billion Kwh,184.025,184.993,175.46,180.186,203.155,205.046,213.477,217.466,228.512,220.998,230.67,232.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Yugoslavia,Billion Kwh,27.868,25.044,23.295,21.623,25.645,24.363,27.474,25.98,25.612,23.256,19.601,18.929,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,France,Billion Kwh,68.253,70.358,68.6,67.515,64.01,60.248,60.953,68.623,73.952,45.744,52.796,56.277,68.313,64.3,78.057,72.196,64.43,63.151,61.479,71.832,66.466,73.888,59.992,58.567,59.276,50.965,55.741,57.029,63.017,56.428,61.945,44.242,57.947,69.85,62.061,53.778,59.307
,French Guiana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.549,0.571,0.593,0.616,0.639,0.663,0.689,0.708,0.737,0.65,0.556,0.49,0.5,0.49,0.44
,French Polynesia,Billion Kwh,0,0,0,0.016,0.024,0.032,0.035,0.035,0.058,0.064,0.069,0.074,0.09,0.094,0.096,0.125,0.133,0.133,0.151,0.087,0.116,0.105,0.131,0.154,0.178,0.177,0.198,0.22,0.209,0.208,0.273,0.223,0.207,0.21,0.17,0.17,0.19
,Gabon,Billion Kwh,0.257,0.408,0.482,0.541,0.604,0.66,0.665,0.668,0.669,0.693,0.698,0.7,0.708,0.703,0.739,0.783,0.762,0.801,0.804,0.823,0.795,0.869,0.914,0.891,0.884,0.804,0.936,0.793,0.885,0.935,0.898,0.832,0.899,0.923,0.786,0.909,0.943
,"Gambia, The",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,6.439,6.536,6.704,5.151,5.94,5.987,6.308,6.378,5.801,5.487,6.699,6.461,5.989,6.174,5.262,6.75,7.09,7.338,9.273,7.811,7.151,8.188,8.252,8.369,9.236
,Germany,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,14.742,17.223,17.699,19.731,21.562,21.737,17.18343,17.044,19.451,21.515,22.506,22.893,19.071,20.866,19.442,19.808,20.957,20.239,18.841,20.649,17.303,21.365,22.654,19.321,18.667,20.239
,"Germany, East",Billion Kwh,1.658,1.718,1.748,1.683,1.748,1.758,1.767,1.726,1.719,1.551,1.389,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,"Germany, West",Billion Kwh,17.125,17.889,17.694,16.713,16.434,15.354,16.526,18.36,18.128,16.482,15.769,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Ghana,Billion Kwh,5.276,5.341,4.941,2.55,1.799,2.996,4.389,4.627,4.811,5.178,5.664,6.075,6.536,6.228,6.033,6.036,6.559,6.782,3.792,5.117,6.544,6.543,4.986,3.846,5.228,5.573,5.563,3.69,6.133,6.808,6.926,7.485,7.99,8.151,8.303,5.787,5.505
,Gibraltar,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Greece,Billion Kwh,3.396,3.398,3.551,2.331,2.852,2.792,3.222,2.768,2.354,1.888,1.751,3.068,2.181,2.26,2.573,3.494,4.305,3.84318,3.68,4.546,3.656,2.076,2.772,4.718,4.625,4.967,5.806,2.565,3.279,5.32,7.431,3.998,4.387,6.337,4.464,5.782,5.543
,Greenland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.171,0.158,0.182,0.18,0.192,0.203,0.196,0.204,0.202,0.265,0.296,0.338,0.345,0.374,0.392,0.407,0.384
,Grenada,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guadeloupe,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guam,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guatemala,Billion Kwh,0.276,0.34,0.476,0.8,0.599,0.671,1.7,1.683,1.83,2.067,2.126,2.126,1.791,1.903,2.022,1.88001,1.85229,1.82457,2.06613,2.27106,2.49678,2.178,1.9305,2.647,2.539,2.91,3.27,3.001,3.638,2.913,3.811,4.134,4.463,4.648,4.84,3.872,3.992
,Guinea,Billion Kwh,0.148,0.148,0.148,0.153,0.155,0.161,0.163,0.165,0.168,0.17,0.173,0.176,0.178,0.18,0.182,0.191,0.195,0.285,0.307,0.391,0.406,0.546,0.589,0.396,0.549,0.489,0.456,0.533,0.524,0.517,0.482,0.413,0.49,0.481,0.43,0.38,0.395
,Guinea-Bissau,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guyana,Billion Kwh,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haiti,Billion Kwh,0.218,0.223,0.247,0.257,0.267,0.293,0.315,0.317,0.317,0.317,0.352,0.329,0.318,0.271,0.231,0.25,0.269,0.198,0.303,0.265,0.28,0.28,0.257,0.252,0.257,0.262,0.268,0.152,0.179,0.205,0.175,0.12,0.219,0.14,0.089,0.082,0.07
,Hawaiian Trade Zone,Billion Kwh,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Honduras,Billion Kwh,0.772,0.821,0.846,0.831,0.865,0.866,1.272,1.131,1.739,1.825,2.066,2.098,2.17,2.241,1.8,1.656,2.019,2.064,1.904,2.109,2.237,1.885,1.595,1.724,1.387,1.701,2.049,2.192,2.268,2.769,3.049,2.787,2.759,2.712,2.576,2.317,2.327
,Hong Kong,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hungary,Billion Kwh,0.111,0.166,0.158,0.153,0.179,0.153,0.152,0.167,0.167,0.156,0.176,0.192,0.156,0.164,0.159,0.161,0.205,0.21384,0.15345,0.179,0.176,0.184,0.192,0.169,0.203,0.2,0.184,0.208,0.211,0.226,0.184,0.216,0.206,0.208,0.294,0.227,0.253
,Iceland,Billion Kwh,3.053,3.085,3.407,3.588,3.738,3.667,3.846,3.918,4.169,4.217,4.162,4.162,4.267,4.421,4.47,4.635,4.724,5.15493,5.565,5.987,6.292,6.512,6.907,7.017,7.063,6.949,7.22,8.31,12.303,12.156,12.51,12.382,12.214,12.747,12.554,13.541,13.092
,India,Billion Kwh,46.54,49.56,48.31,49.87,53.405,50.508,53.309,46.993,57.291,61.511,70.939,72.047,69.187,69.773,81.9,71.87,68.241,73.914,82.173,79.901,73.717,72.96,67.735,79.994,89.607,106.831,119.168,126.585,115.635,112.005,113.42,129.34,112.7,133.63,128.1,120.27,121.28
,Indonesia,Billion Kwh,2.234,2.907,2.708,2.941,3.197,3.817,5.199,4.531,5.689,6.913,6.666,7.107,9.009,8.035,7.364,8.139,8.76,5.668,10.506,10.144,9.916,11.539,9.834,9.008,9.576,10.618,9.527,11.173,11.413,11.27,17.281,12.295,12.671,16.754,15.01,13.604,19.176
,Iran,Billion Kwh,5.561,6.164,6.38,6.138,6.268,6.27,6.136,6.336,6.386,6.633,6.022,6.985,9.435,9.725,7.371,7.202,7.326,6.857,6.961,4.906,3.625,5.026,8.004,10.987,10.521,15.939,18.083,17.807,4.953,7.161,9.431,11.937,12.323,14.436,13.723,13.949,16.257
,Iraq,Billion Kwh,0.683,0.683,0.604,0.594,0.604,0.604,0.594,0.604,0.703,0.594,0.604,0.307,0.693,0.594,0.554,0.564,0.564,0.575,0.587,0.599,0.605,0.612,0.512,0.429,0.488,5.94,6.03504,5.67864,3.45015,3.19473,4.71834,3.363,4.348,4.709,2.902,2.521,3.337
,Ireland,Billion Kwh,0.833,0.855,0.792,0.776,0.68,0.824,0.91,0.673,0.862,0.684,0.69,0.738,0.809,0.757,0.911,0.706,0.715,0.67122,0.907,0.838,0.838,0.59,0.903,0.592,0.624,0.625,0.717,0.66,0.959,0.893,0.593,0.699,0.795,0.593,0.701,0.798,0.674
,Israel,Billion Kwh,0,0,0,0,0,0,0,0.01,0.01,0.003,0.003,0.006,0.029,0.03,0.03,0.025,0.024,0.025,0.025,0.033,0.031,0.01,0.021,0.031,0.028,0.028,0.015,0.014,0.016,0.024,0.031,0.029,0.033,0.028,0.013,0.024,0.03
,Italy,Billion Kwh,44.997,42.782,41.216,40.96,41.923,40.616,40.626,39.05,40.205,33.647,31.31,41.817,41.778,41.011,44.212,37.404,41.617,41.18697,40.808,44.911,43.763,46.343,39.125,33.303,41.915,35.706,36.624,32.488,41.207,48.647,50.506,45.267,41.276,52.17,57.864,45.018,41.96
,Jamaica,Billion Kwh,0.119,0.124,0.134,0.148,0.081,0.076,0.115,0.119,0.099,0.126,0.109,0.119,0.108,0.089,0.11,0.095,0.101,0.109,0.113,0.115,0.114,0.059,0.093,0.116,0.133,0.15,0.164,0.158,0.156,0.139,0.15,0.15,0.149,0.115,0.135,0.128,0.118
,Japan,Billion Kwh,87.784,87.077,80.798,83.439,72.684,82.111,80.015,74.033,89.926,90.833,88.412,96.517,81.72,94.634,66.591,81.297,79.71381,88.901,91.588,85.552,86.38,83.324,81.554,93.661,93.122,75.705,86.649,73.269,75.684,76.127,83.432,84.551,76.177,79.036,83.162,86.751,78.555
